planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_mass_earth,planet_mass_jupiter
GJ 3323 b,1,Radial Velocity,2017,Published Confirmed,0,5.3636,0.03282,2.02,0.0063556
GJ 3323 c,1,Radial Velocity,2017,Published Confirmed,0,40.54,0.1264,2.31,0.00726804
GJ 3341 b,1,Radial Velocity,2015,Published Confirmed,0,14.207,0.089,6.6,0.0208
GJ 3378 b,1,Radial Velocity,2026,Published Confirmed,0,21.45,0.09673,2.3,0.00723661
GJ 338 B b,1,Radial Velocity,2020,Published Confirmed,0,24.422,0.142,10.6,0.03335133
GJ 3470 b,1,Radial Velocity,2012,Published Confirmed,0,3.3366496,0.0355,13.9,0.04373407
GJ 3473 b,1,Transit,2020,Published Confirmed,0,1.1980035,0.01589,1.86,0.00585219
GJ 3473 c,1,Radial Velocity,2020,Published Confirmed,0,15.509,0.0876,7.41,0.02331435
GJ 3512 b,1,Radial Velocity,2019,Published Confirmed,0,203.109,0.3376,146.51889563,0.461
GJ 3512 c,1,Radial Velocity,2020,Published Confirmed,0,2354.0,1.731,143.97626837,0.453
GJ 357 b,1,Transit,2019,Published Confirmed,0,3.9306,0.036,,
GJ 357 c,1,Radial Velocity,2019,Published Confirmed,0,9.1247,0.061,3.4,0.01069754
GJ 357 d,1,Radial Velocity,2019,Published Confirmed,0,55.661,0.204,6.1,0.01919265
GJ 3634 b,1,Radial Velocity,2010,Published Confirmed,0,2.64561,0.0287,8.4,0.026
GJ 3779 b,1,Radial Velocity,2018,Published Confirmed,0,3.0232,0.026,8.0,0.02517069
GJ 3929 b,1,Transit,2022,Published Confirmed,0,2.616235,0.0252,1.75,0.00550612
GJ 3929 c,1,Radial Velocity,2022,Published Confirmed,0,15.04,0.081,5.71,0.01796567
GJ 393 b,1,Radial Velocity,2021,Published Confirmed,0,7.02679,0.05402,1.71,0.00538026
GJ 3942 b,1,Radial Velocity,2017,Published Confirmed,0,6.905,0.0608,7.14,0.02246484
GJ 3988 b,1,Radial Velocity,2023,Published Confirmed,0,6.9442,0.0405,3.69,0.01161004
GJ 3998 b,1,Radial Velocity,2016,Published Confirmed,0,2.65033,0.03,2.5,0.00786588
GJ 3998 c,1,Radial Velocity,2016,Published Confirmed,0,13.727,0.09,6.82,0.02145812
GJ 3998 d,1,Radial Velocity,2025,Published Confirmed,0,41.78,0.189,6.07,0.01909836
GJ 411 b,1,Radial Velocity,2019,Published Confirmed,0,12.9394,0.07879,2.69,0.00846369
GJ 414 A b,1,Radial Velocity,2021,Published Confirmed,0,50.8,0.2324,7.6,0.02391215
GJ 414 A c,1,Radial Velocity,2021,Published Confirmed,0,749.83,1.4,53.83,0.16936727
GJ 422 b,1,Radial Velocity,2014,Published Confirmed,0,20.129,0.111,11.07,0.03482994
GJ 4274 b,1,Radial Velocity,2026,Published Confirmed,0,1.6339,0.0153,2.97,0.00934467
GJ 4274 c,1,Radial Velocity,2026,Published Confirmed,0,69.57,0.186,8.39,0.02639789
GJ 4276 b,1,Radial Velocity,2019,Published Confirmed,0,13.352,0.082,16.57,0.05213479
GJ 433 b,1,Radial Velocity,2013,Published Confirmed,0,7.3705,0.062,6.043,0.01901331
GJ 433 c,1,Radial Velocity,2014,Published Confirmed,0,5094.105,4.819,32.422,0.10201051
GJ 433 d,1,Radial Velocity,2020,Published Confirmed,0,36.059,0.178,5.223,0.01643331
GJ 436 b,1,Radial Velocity,2004,Published Confirmed,0,2.64388312,0.0291,22.1,0.07
GJ 463 b,1,Radial Velocity,2022,Published Confirmed,0,3459.0,3.53,524.09904314,1.649
GJ 480 b,1,Radial Velocity,2020,Published Confirmed,0,9.5536,0.068,8.8,0.0276879
GJ 486 b,1,Radial Velocity,2021,Published Confirmed,0,1.46712127,0.01714,2.77,0.00871539
GJ 508.2 b,1,Radial Velocity,2025,Published Confirmed,0,5300.0,4.85,587.98255295,1.85
GJ 514 b,1,Radial Velocity,2022,Published Confirmed,0,140.43,0.422,5.2,0.01636103
GJ 536 b,1,Radial Velocity,2016,Published Confirmed,0,8.70874,0.0668,6.37,0.02004226
GJ 536 c,1,Radial Velocity,2025,Published Confirmed,0,32.761,0.1617,5.89,0.01853201
GJ 581 b,1,Radial Velocity,2005,Published Confirmed,0,5.3686,0.0399,20.5,0.06450021
GJ 581 c,1,Radial Velocity,2007,Published Confirmed,0,12.9211,0.0718,6.81,0.02142666
GJ 581 e,1,Radial Velocity,2009,Published Confirmed,0,3.1481,0.02799,2.48,0.00780295
GJ 625 b,1,Radial Velocity,2017,Published Confirmed,0,14.628,0.078361,2.82,0.00887267
GJ 649 b,1,Radial Velocity,2009,Published Confirmed,0,600.1,1.112,81.99972901,0.258
GJ 667 C c,1,Radial Velocity,2013,Published Confirmed,0,28.14,0.125,3.8,0.012
GJ 667 C e,1,Radial Velocity,2013,Published Confirmed,1,62.24,0.213,2.7,0.008
GJ 667 C f,1,Radial Velocity,2013,Published Confirmed,1,39.026,0.156,2.7,0.008
GJ 667 C g,1,Radial Velocity,2013,Published Confirmed,1,256.2,0.549,4.6,0.014
GJ 674 b,1,Radial Velocity,2007,Published Confirmed,0,4.6938,0.039,11.09,0.035
GJ 676 A b,1,Radial Velocity,2010,Published Confirmed,0,1051.44521,1.735,1840.86213334,5.792
GJ 676 A c,1,Radial Velocity,2016,Published Confirmed,0,13921.42302,9.726,4288.14086724,13.492
GJ 676 A d,1,Radial Velocity,2012,Published Confirmed,0,3.60076,0.039,3.81394088,0.012
GJ 676 A e,1,Radial Velocity,2012,Published Confirmed,0,35.47358,0.181,6.67439655,0.021
GJ 680 b,1,Radial Velocity,2022,Published Confirmed,0,17281.66514,10.138,7977.4930157,25.1
GJ 682 b,1,Radial Velocity,2014,Published Confirmed,0,17.478,0.08,4.4,0.01384388
GJ 682 c,1,Radial Velocity,2014,Published Confirmed,0,57.32,0.176,8.7,0.02737312
GJ 685 b,1,Radial Velocity,2019,Published Confirmed,0,24.16,0.1344,9.0,0.02831702
GJ 687 b,1,Radial Velocity,2014,Published Confirmed,0,38.142,0.163,17.2,0.05411698
GJ 687 c,1,Radial Velocity,2020,Published Confirmed,0,727.562,1.165,16.0,0.05034138
GJ 720 A b,1,Radial Velocity,2021,Published Confirmed,0,19.466,0.119,13.64,0.04291624
GJ 724 b,1,Radial Velocity,2023,Published Confirmed,0,5.101284,0.04685,10.75,0.03382328
GJ 740 b,1,Radial Velocity,2021,Published Confirmed,0,2.37756,0.029,2.96,0.00931315
GJ 806 b,1,Transit,2023,Published Confirmed,0,0.9263237,0.01406,1.9,0.00597807
GJ 806 c,1,Radial Velocity,2023,Published Confirmed,0,6.64064,0.0523,5.8,0.01824884
GJ 832 b,1,Radial Velocity,2008,Published Confirmed,0,3853.0,3.7,314.65012293,0.99
GJ 849 b,1,Radial Velocity,2006,Published Confirmed,0,1925.31,2.32,283.82076745,0.893
GJ 849 c,1,Radial Velocity,2014,Published Confirmed,0,5990.0,4.95,314.65012293,0.99
GJ 86 b,1,Radial Velocity,1999,Published Confirmed,0,15.76491,0.11,1404.8086,4.42
GJ 876 b,1,Radial Velocity,1998,Published Confirmed,0,61.1166,0.208317,723.2235,2.2756
GJ 876 c,1,Radial Velocity,2000,Published Confirmed,0,30.0881,0.12959,226.9846,0.7142
GJ 876 d,1,Radial Velocity,2005,Published Confirmed,0,1.93778,0.02080665,6.83,0.021
