planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_radius_earth,planet_mass_earth,planet_mass_jupiter,sy_dist
HD 34445 g,1,Radial Velocity,2017,Published Confirmed,0,5700.0,6.36,,120.6,0.38,46.0907
HD 35759 b,1,Radial Velocity,2016,Published Confirmed,0,82.467,0.389,,1195.0408,3.76,71.2423
HD 35843 b,1,Radial Velocity,2025,Published Confirmed,0,9.8991,0.088,,5.84,0.01837469,69.6026
HD 35843 c,1,Transit,2025,Published Confirmed,0,46.9622,0.25,2.54,11.32,0.0356167,69.6026
HD 360 b,1,Radial Velocity,2021,Published Confirmed,0,273.1,0.98,,238.37130525,0.75,111.542
HD 36384 b,1,Radial Velocity,2023,Published Confirmed,0,490.0,1.3,,2097.6674862,6.6,209.309
HD 3651 b,1,Radial Velocity,2003,Published Confirmed,0,62.25,0.295,,72.46524,0.228,11.1336
HD 37124 b,1,Radial Velocity,2002,Published Confirmed,0,154.378,0.53364,,214.53525,0.675,31.6634
HD 37124 c,1,Radial Velocity,2002,Published Confirmed,0,885.5,1.71,,207.22516,0.652,31.6634
HD 37124 d,1,Radial Velocity,2005,Published Confirmed,0,1862.0,2.807,,221.20968,0.696,31.6634
HD 37605 b,1,Radial Velocity,2004,Published Confirmed,0,55.01292,0.277,,854.9627,2.69,46.7864
HD 37605 c,1,Radial Velocity,2012,Published Confirmed,0,2720.0,3.74,,1013.8777,3.19,46.7864
HD 3765 b,1,Radial Velocity,2021,Published Confirmed,0,1211.0,2.108,,54.98431441,0.173,17.926
HD 38283 b,1,Radial Velocity,2010,Published Confirmed,0,363.20001,1.02,,127.132,0.4,38.0615
HD 38529 b,1,Radial Velocity,2000,Published Confirmed,0,14.3099,0.115,,206.58846455,0.65,42.3538
HD 38529 c,1,Radial Velocity,2000,Published Confirmed,0,2127.60566,3.226,,3299.05886466,10.38,42.3538
HD 38801 b,1,Radial Velocity,2009,Published Confirmed,0,685.25,1.623,,3082.31534,9.698,91.4349
HD 39091 b,1,Radial Velocity,2001,Published Confirmed,0,2088.8,3.28,,4481.3805387,14.1,18.2702
HD 39194 b,1,Radial Velocity,2021,Published Confirmed,0,5.63692,0.05895,,4.62,0.01453615,26.4131
HD 39194 c,1,Radial Velocity,2021,Published Confirmed,0,14.0309,0.1083,,7.49,0.02356618,26.4131
HD 39194 d,1,Radial Velocity,2021,Published Confirmed,0,33.874,0.1949,,5.16,0.01623518,26.4131
HD 39855 b,1,Radial Velocity,2019,Published Confirmed,0,3.2498,0.041,,8.5,0.02674386,23.2599
HD 40307 b,1,Radial Velocity,2009,Published Confirmed,0,4.3123,0.0468,,4.0,0.0126,12.9363
HD 40307 c,1,Radial Velocity,2009,Published Confirmed,0,9.6184,0.0799,,6.6,0.0208,12.9363
HD 40307 d,1,Radial Velocity,2009,Published Confirmed,0,20.432,0.1321,,9.5,0.0299,12.9363
HD 40307 f,1,Radial Velocity,2013,Published Confirmed,0,51.76,0.247,,5.2,0.0164,12.9363
HD 40307 g,1,Radial Velocity,2013,Published Confirmed,1,197.8,0.6,,7.1,0.0223,12.9363
HD 40956 b,1,Radial Velocity,2017,Published Confirmed,0,578.6,1.4,,858.141,2.7,116.593
HD 40979 b,1,Radial Velocity,2002,Published Confirmed,0,264.14999,0.85,,1484.2661,4.67,34.0883
HD 41004 A b,1,Radial Velocity,2004,Published Confirmed,0,963.0,,,807.25,2.54,36.69117
HD 41004 B b,1,Radial Velocity,2003,Published Confirmed,0,1.3283,,,5838.29,18.37,41.5504
HD 4113 b,1,Radial Velocity,2007,Published Confirmed,0,526.5239,1.28,,541.26177712,1.703,41.8727
